BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO,OFFER,RETAILER
caseys general store,frozen pizza & pizza snacks,frozen,visit or order online from casey's 5 times,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,12 pack or 2 liter and whole pizza at casey's,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,whole pizza at casey's,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,"fresh bakery products at casey's, select varieties",caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,spend $10 on casey's branded packaged products,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,2 pack or 2 liter and whole pizza at casey's,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,select beverages and prepared food item at casey's,caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,"fresh bakery items, select varieties, at casey's",caseys general store
caseys general store,frozen pizza & pizza snacks,frozen,spend $5 on brisket mac & cheese sandwich or other single-serve prepared food item,caseys general store
bio oil,cooking & baking,pantry,"bio-oil® skincare oil or gel, select varieties",bio-oil
bio oil,cooking & baking,pantry,"bio-oil® products, select varieties",bio-oil
bio oil,skin care,health & wellness,"bio-oil® skincare oil or gel, select varieties",bio-oil
bio oil,skin care,health & wellness,"bio-oil® products, select varieties",bio-oil
star market,cooking & baking,pantry,spend $90 at star market,star market
star market,cooking & baking,pantry,shop 2 times at star market,star market
star market,cooking & baking,pantry,spend $120 at star market,star market
star market,cooking & baking,pantry,spend $220 at star market,star market
star market,cooking & baking,pantry,any star market receipt,star market
shaws,cooking & baking,pantry,spend $140 at shaws,shaws
shaws,cooking & baking,pantry,spend $185 at shaws,shaws
shaws,cooking & baking,pantry,shop 2 times at shaw's,shaws
shaws,cooking & baking,pantry,any shaw's receipt,shaws
shaws,cooking & baking,pantry,spend $300 at shaws,shaws
blue apron,cooking & baking,pantry,blue apron meal kits,blue apron
pavilions,cooking & baking,pantry,spend $155 at pavilions,pavilions
pavilions,cooking & baking,pantry,shop 2 times at pavilions,pavilions
pavilions,cooking & baking,pantry,spend $100 at pavilions,pavilions
pavilions,cooking & baking,pantry,any pavilions receipt,pavilions
pavilions,cooking & baking,pantry,spend $270 at pavilions,pavilions
bays,bread,pantry,bays® english muffins,bays
rustik oven,bread,pantry,the rustik oven® bread,the rustik oven
country crock plant butter,nut butters & jam,pantry,country crock® plant based butter at walmart,walmart
country crock plant butter,nut butters & jam,pantry,country crock® plant based cream at walmart,walmart
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at dillons food store",dillons food store
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at ralphs",ralphs
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at ruler foods",ruler foods
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at king soopers",king soopers
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at fred meyer",fred meyer
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at kroger",kroger
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at smith's",smiths
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at food 4 less",food4less
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at fry's food store",frys food store
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at qfc",qfc
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at mariano's",marianos
butterball,nut butters & jam,pantry,"butterball, select varieties, spend $10 at pick 'n save or metro market",pick n save
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at dillons food store",dillons food store
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at ralphs",ralphs
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at ruler foods",ruler foods
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at king soopers",king soopers
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at fred meyer",fred meyer
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at kroger",kroger
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at smith's",smiths
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at food 4 less",food4less
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at fry's food store",frys food store
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at qfc",qfc
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at mariano's",marianos
butterball,frozen turkey,frozen meat,"butterball, select varieties, spend $10 at pick 'n save or metro market",pick n save
ben and jerrys,frozen desserts,frozen,"ben & jerry's frozen creme brulee non dairy dessert, 16 ounce",ben and jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's® doggie desserts, 4 count",ben & jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's frozen sugar cookie dough chunks, 8 ounce",ben and jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's®, select varieties",ben & jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's®, select varieties, spend $12",ben & jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's® doggie desserts, 4 ounce, buy 2",ben & jerrys
ben and jerrys,frozen desserts,frozen,"ben & jerry's wake & no bake cookie dough ice cream, 16 ounce",ben and jerrys
ben and jerrys,frozen desserts,frozen,ben & jerry's® churray for churros™ ice cream,ben & jerrys
breyers,frozen desserts,frozen,"breyers reese's ice cream, select varieties, at giant or martin’s",martins foods
breyers,frozen breads & doughs,frozen,"breyers reese's ice cream, select varieties, at giant or martin’s",martins foods
klondike,frozen desserts,frozen,"reese's chocolate cones, 8 count at giant or martin’s",martins foods
klondike,frozen desserts,frozen,"reese's chocolate cones, 8 count at giant or martin’s",giant food
klondike,frozen desserts,frozen,"klondike cones, spend $10 at walmart",walmart
klondike,frozen desserts,frozen,klondike cones at walmart,walmart
klondike,frozen meals,frozen,"reese's chocolate cones, 8 count at giant or martin’s",martins foods
klondike,frozen meals,frozen,"reese's chocolate cones, 8 count at giant or martin’s",giant food
klondike,frozen meals,frozen,"klondike cones, spend $10 at walmart",walmart
klondike,frozen meals,frozen,klondike cones at walmart,walmart
talenti,frozen desserts,frozen,talenti mini bars,talenti
talenti,frozen meals,frozen,talenti mini bars,talenti
magnum ice cream,frozen desserts,frozen,"magnum non-dairy hazelnut crunch ice cream bars, 3 count",magnum ice cream
haagen dazs,frozen desserts,frozen,"häagen-dazs®, 28 ounce, at grocery* stores",häagen-dazs
frutero,frozen desserts,frozen,"frutero ice cream, 1 pint",frutero
frutero,frozen fruits,frozen,"frutero ice cream, 1 pint",frutero
bai,fruit juices,beverages,"bai® antioxidant, 6 pack, buy 2 at walmart",walmart
bai,fruit juices,beverages,"bai® antioxidant, 6 pack, at walmart",walmart
bai,tea,beverages,"bai® antioxidant, 6 pack, buy 2 at walmart",walmart
bai,tea,beverages,"bai® antioxidant, 6 pack, at walmart",walmart
bai,water,beverages,"bai® antioxidant, 6 pack, buy 2 at walmart",walmart
bai,water,beverages,"bai® antioxidant, 6 pack, at walmart",walmart
bai,drink mixes,beverages,"bai® antioxidant, 6 pack, buy 2 at walmart",walmart
bai,drink mixes,beverages,"bai® antioxidant, 6 pack, at walmart",walmart
cheerios,"cereal, granola, & toaster pastries",pantry,cheerios™ oat crunch berry cereal,cheerios
ratio,"cereal, granola, & toaster pastries",pantry,:ratio™ keto* friendly cereal or granola,ratio
ratio,yogurt,dairy,:ratio™ keto* friendly cereal or granola,ratio
ratio,nuts & seeds,snacks,:ratio™ keto* friendly cereal or granola,ratio
kodiak cakes flapjack & waffle mix,"cereal, granola, & toaster pastries",pantry,"kodiak® products, select varieties, spend $10",kodiak
wonderworks,"cereal, granola, & toaster pastries",pantry,wonderworks™ keto* friendly cereal,wonderworks
rao's,dry pasta,pasta & noodles,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,dry pasta,pasta & noodles,rao's® frozen pizza,raos
rao's,dry pasta,pasta & noodles,"rao's®, pasta or sauce, spend $10",raos
rao's,sauces & marinades,pantry,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,sauces & marinades,pantry,rao's® frozen pizza,raos
rao's,sauces & marinades,pantry,"rao's®, pasta or sauce, spend $10",raos
rao's,frozen pizza & pizza snacks,frozen,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,frozen pizza & pizza snacks,frozen,rao's® frozen pizza,raos
rao's,frozen pizza & pizza snacks,frozen,"rao's®, pasta or sauce, spend $10",raos
rao's,red pasta sauce,pasta sauce,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,red pasta sauce,pasta sauce,rao's® frozen pizza,raos
rao's,red pasta sauce,pasta sauce,"rao's®, pasta or sauce, spend $10",raos
rao's,frozen meals,frozen,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,frozen meals,frozen,rao's® frozen pizza,raos
rao's,frozen meals,frozen,"rao's®, pasta or sauce, spend $10",raos
rao's,alfredo & white pasta sauce,pasta sauce,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,alfredo & white pasta sauce,pasta sauce,rao's® frozen pizza,raos
rao's,alfredo & white pasta sauce,pasta sauce,"rao's®, pasta or sauce, spend $10",raos
rao's,pasta & noodles,pantry,"michael angelo's® or rao's® frozen entrees, spend $10",michael angelos
rao's,pasta & noodles,pantry,rao's® frozen pizza,raos
rao's,pasta & noodles,pantry,"rao's®, pasta or sauce, spend $10",raos
cooked perfect,frozen chicken,frozen meat,"cooked perfect® meatballs, at walmart",walmart
cooked perfect,frozen chicken,frozen meat,"cooked perfect® meatballs, homestyle or turkey, at walmart",walmart
core hydration,water,beverages,"core® hydration, select varieties, at walmart",walmart
core hydration,water,beverages,"core® hydration, select varieties, buy 2 at walmart",walmart
beechnut,nuts & seeds,snacks,"beech-nut snacks, select varieties",beechnut
beechnut,nuts & seeds,snacks,"beech-nut pouches, buy 8",beechnut
beechnut,fruit & vegetable snacks,snacks,"beech-nut snacks, select varieties",beechnut
beechnut,fruit & vegetable snacks,snacks,"beech-nut pouches, buy 8",beechnut
beechnut,crackers,snacks,"beech-nut snacks, select varieties",beechnut
beechnut,crackers,snacks,"beech-nut pouches, buy 8",beechnut
beechnut,cookies,snacks,"beech-nut snacks, select varieties",beechnut
beechnut,cookies,snacks,"beech-nut pouches, buy 8",beechnut
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's®fruit snacks, select varieties, buy 2",welchs
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® zero sugar fruity bites, 6 pack+, online at amazon",amazon
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® fruit snacks, select varieties, 6 count+, buy 3",welchs
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® fruit snacks, 250 count, online at amazon",amazon
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® juicefuls® juicy fruit snacks, 14 count, at target",target
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® fruit snacks, select varieties, 6 count+, buy 2",welchs
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's®fruit snacks, spend $8",welchs
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® fruit 'n yogurt® snacks, 18 count, at walmart",walmart
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® fruit snacks, select varieties, 6 count+",welchs
welchs fruit snacks,fruit & vegetable snacks,snacks,"welch's® juicefuls® juicy fruit snacks, buy 2",welchs
simply spiked,malt beverages,alcohol,simply spiked™ lemonade 12 pack+,simply spiked
simply spiked,malt beverages,alcohol,"simply spiked™ signature peach 12-pack or larger, buy 2",simply spiked
simply spiked,malt beverages,alcohol,simply spiked™ 12 pack+,simply spiked
simply spiked,malt beverages,alcohol,simply spiked™ signature peach 12 pack+,simply spiked
simply spiked,"hard seltzers, sodas, waters, lemonades & teas",alcohol,simply spiked™ lemonade 12 pack+,simply spiked
simply spiked,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"simply spiked™ signature peach 12-pack or larger, buy 2",simply spiked
simply spiked,"hard seltzers, sodas, waters, lemonades & teas",alcohol,simply spiked™ 12 pack+,simply spiked
simply spiked,"hard seltzers, sodas, waters, lemonades & teas",alcohol,simply spiked™ signature peach 12 pack+,simply spiked
vizzy,malt beverages,alcohol,"coors light®, miller lite® or vizzy™ 12 pack+",coors light
vizzy,malt beverages,alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 4",coors light
vizzy,malt beverages,alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 2",coors light
vizzy,malt beverages,alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 3",coors light
vizzy,malt beverages,alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 5",coors light
vizzy,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"coors light®, miller lite® or vizzy™ 12 pack+",coors light
vizzy,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 4",coors light
vizzy,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 2",coors light
vizzy,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 3",coors light
vizzy,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"coors light®, miller lite® or vizzy™ 12 packs+, buy 5",coors light
colgate toothbrushes,oral care,health & wellness,"colgate® toothpaste and colgate® toothbrush, select varieties at walmart or target",target
sir kensingtons,sauces & marinades,pantry,"sir kensington's® condiments, buy 2",sir kensingtons
sir kensingtons,sauces & marinades,pantry,sir kensington's® condiments,sir kensingtons
sir kensingtons,condiments,pantry,"sir kensington's® condiments, buy 2",sir kensingtons
sir kensingtons,condiments,pantry,sir kensington's® condiments,sir kensingtons
sir kensingtons,dressings,pantry,"sir kensington's® condiments, buy 2",sir kensingtons
sir kensingtons,dressings,pantry,sir kensington's® condiments,sir kensingtons
hellmanns best foods,sauces & marinades,pantry,hellmann's® or best foods® garlic aioli or spicy mayonnaise,hellmanns
hellmanns best foods,sauces & marinades,pantry,hellmann's® or best foods® and sargento® cheese slices,hellmanns
hellmanns best foods,sauces & marinades,pantry,hellmann's | best foods vegan dressing or spread,hellmanns best foods
hellmanns best foods,condiments,pantry,hellmann's® or best foods® garlic aioli or spicy mayonnaise,hellmanns
hellmanns best foods,condiments,pantry,hellmann's® or best foods® and sargento® cheese slices,hellmanns
hellmanns best foods,condiments,pantry,hellmann's | best foods vegan dressing or spread,hellmanns best foods
hellmanns best foods,dressings,pantry,hellmann's® or best foods® garlic aioli or spicy mayonnaise,hellmanns
hellmanns best foods,dressings,pantry,hellmann's® or best foods® and sargento® cheese slices,hellmanns
hellmanns best foods,dressings,pantry,hellmann's | best foods vegan dressing or spread,hellmanns best foods
michael angelo's,sauces & marinades,pantry,michael angelo's® sauce at walmart,walmart
michael angelo's,frozen meals,frozen,michael angelo's® sauce at walmart,walmart
degree,deodorant & antiperspirant,health & wellness,degree for men or women dry spray,degree
topo chico hard seltzer,"hard seltzers, sodas, waters, lemonades & teas",alcohol,"molson coors®, select varieties, 12 pack+, buy 2",molson coors
loreal paris hair color,hair care,health & wellness,"l'oréal paris hair color, select varieties, spend $19 at target",target
loreal paris hair color,hair care,health & wellness,"l'oréal paris men expert hair color, spend $19 at walmart",walmart
loreal paris hair color,hair care,health & wellness,"l’oréal paris men expert hair color, spend $9 at walmart",walmart
loreal paris hair color,hair care,health & wellness,l'oréal paris excellence hair color at target,target
loreal paris hair color,hair care,health & wellness,"l'oréal paris hair color, select varieties, spend $25 at target",target
loreal paris hair color,hair care,health & wellness,"l'oréal paris hair color, select varieties, spend $9 at target",target
ball park frank,packaged meat,pantry,"tyson products, select varieties, spend $20 at sam's club",sams club
ball park frank,frozen beef,frozen meat,"tyson products, select varieties, spend $20 at sam's club",sams club
aidells,packaged meat,pantry,"tyson products, select varieties, spend $15 at walmart",walmart
beyond meat,packaged meat,pantry,"beyond meat® plant-based products, spend $25",beyond meat
beyond meat,packaged meat,pantry,"beyond steak™ plant-based seared tips, 10 ounce at target",target
beyond meat,packaged meat,pantry,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at h-e-b",h-e-b
beyond meat,packaged meat,pantry,"beyond steak™ plant-based seared tips, 10 ounce at h-e-b",h-e-b
beyond meat,packaged meat,pantry,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at target",target
beyond meat,packaged meat,pantry,"beyond meat® plant-based products, spend $15",beyond meat
beyond meat,packaged meat,pantry,"beyond meat® plant-based products, spend $20",beyond meat
beyond meat,plant-based meat,meat & seafood,"beyond meat® plant-based products, spend $25",beyond meat
beyond meat,plant-based meat,meat & seafood,"beyond steak™ plant-based seared tips, 10 ounce at target",target
beyond meat,plant-based meat,meat & seafood,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at h-e-b",h-e-b
beyond meat,plant-based meat,meat & seafood,"beyond steak™ plant-based seared tips, 10 ounce at h-e-b",h-e-b
beyond meat,plant-based meat,meat & seafood,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at target",target
beyond meat,plant-based meat,meat & seafood,"beyond meat® plant-based products, spend $15",beyond meat
beyond meat,plant-based meat,meat & seafood,"beyond meat® plant-based products, spend $20",beyond meat
beyond meat,frozen plant-based meat,frozen,"beyond meat® plant-based products, spend $25",beyond meat
beyond meat,frozen plant-based meat,frozen,"beyond steak™ plant-based seared tips, 10 ounce at target",target
beyond meat,frozen plant-based meat,frozen,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at h-e-b",h-e-b
beyond meat,frozen plant-based meat,frozen,"beyond steak™ plant-based seared tips, 10 ounce at h-e-b",h-e-b
beyond meat,frozen plant-based meat,frozen,"beyond steak™ plant-based seared tips, 10 ounce, buy 2 at target",target
beyond meat,frozen plant-based meat,frozen,"beyond meat® plant-based products, spend $15",beyond meat
beyond meat,frozen plant-based meat,frozen,"beyond meat® plant-based products, spend $20",beyond meat
extra,gum,candy,"extra®, select varieties",extra
extra,gum,candy,"extra®, select sizes",extra
orbit,gum,candy,"orbit®, select sizes, buy 1",orbit
orbit,gum,candy,"orbit®, select varieties",orbit
5 gum,gum,candy,"respawn® by 5® gum, at walmart",walmart
emmys pop up,cookies,snacks,emmy's organics® cookies or brownie snaps,emmys organics
jack links,jerky & dried meat,snacks,"jack link's®, select varieties",jack links
gortons,jerky & dried meat,snacks,"gorton's, at select retailers",shop rite
gortons,jerky & dried meat,snacks,"gorton's air fried butterfly shrimp, at walmart",walmart
gortons,jerky & dried meat,snacks,"gorton's, at select retailers",stop & shop
gortons,jerky & dried meat,snacks,gorton's at select retailers,stop & shop
gortons,jerky & dried meat,snacks,gorton's at select retailers,walmart
gortons,frozen meals,frozen,"gorton's, at select retailers",shop rite
gortons,frozen meals,frozen,"gorton's air fried butterfly shrimp, at walmart",walmart
gortons,frozen meals,frozen,"gorton's, at select retailers",stop & shop
gortons,frozen meals,frozen,gorton's at select retailers,stop & shop
gortons,frozen meals,frozen,gorton's at select retailers,walmart
gortons,frozen seafood,frozen meat,"gorton's, at select retailers",shop rite
gortons,frozen seafood,frozen meat,"gorton's air fried butterfly shrimp, at walmart",walmart
gortons,frozen seafood,frozen meat,"gorton's, at select retailers",stop & shop
gortons,frozen seafood,frozen meat,gorton's at select retailers,stop & shop
gortons,frozen seafood,frozen meat,gorton's at select retailers,walmart
purex,laundry supplies,household supplies,"purex® laundry detergent, select varieties, at walmart",walmart
promised land dairy,milk,dairy,"promised land dairy milk, 52-ounce",promised land dairy
egglife,eggs,dairy,egglife egg white wraps at aldi,aldi
back to the roots,packaged meals & sides,pantry,"back to the roots grow seed starting pots or germination trays, at walmart or target",target
back to the roots,packaged meals & sides,pantry,"back to the roots soils, select varieties and sizes, at walmart",walmart
back to the roots,packaged meals & sides,pantry,"back to the roots dry plant food, 5 pounds, at the home depot",the home depot
back to the roots,packaged meals & sides,pantry,"back to the roots garden soil, 1 cubic foot, at lowe's home improvement",lowes home improvement
back to the roots,packaged meals & sides,pantry,"back to the roots raised bed gardening kit with soil, seeds and plant food, at target",target
back to the roots,packaged meals & sides,pantry,back to the roots microgreens grow kit or seed refill at walmart,walmart
back to the roots,packaged meals & sides,pantry,"back to the roots soils, select varieties and sizes, at lowes",lowes home improvement
back to the roots,packaged meals & sides,pantry,"back to the roots soils, select varieties, at walmart or lowes",lowes home improvement
back to the roots,packaged meals & sides,pantry,back to the roots grow kits at walmart or the home depot,walmart
back to the roots,packaged meals & sides,pantry,back to the roots grow hydroponic grow kit or refill bundle at walmart,walmart
back to the roots,packaged meals & sides,pantry,"back to the roots seeds, at walmart",walmart
back to the roots,packaged meals & sides,pantry,"back to the roots organic kits and planters, at target",target
back to the roots,packaged meals & sides,pantry,"back to the roots potting mix, 1 cubic foot, at lowe's home improvement",lowes home improvement
back to the roots,packaged meals & sides,pantry,"back to the roots organic 3-in-1 seed starting mix 12 quart, at walmart or target",target
back to the roots,packaged meals & sides,pantry,"back to the roots soils, select varieties, at walmart",walmart
